0,1,2,3,4,5,6,7,8,month
10:00p,Dallas Mavericks,132,Portland Trail Blazers,92,Box Score,,0,,March
,,,,,,,,,March
7:30p,Sacramento Kings,119,Cleveland Cavaliers,105,Box Score,,"4,100",,March
8:00p,Oklahoma City Thunder,112,Minnesota Timberwolves,103,Box Score,,0,,March
8:30p,Charlotte Hornets,100,San Antonio Spurs,97,Box Score,,"3,222",,March
9:00p,Utah Jazz,120,Chicago Bulls,95,Box Score,,0,,March
9:00p,Toronto Raptors,99,Houston Rockets,117,Box Score,,"2,965",,March
9:00p,Boston Celtics,126,Memphis Grizzlies,132,Box Score,OT,"2,319",,March
9:00p,Indiana Pacers,113,Milwaukee Bucks,140,Box Score,,"3,280",,March
10:00p,Atlanta Hawks,110,Los Angeles Clippers,119,Box Score,,0,,March
7:00p,Denver Nuggets,110,Orlando Magic,99,Box Score,,"3,485",,March
7:30p,Los Angeles Lakers,111,New Orleans Pelicans,128,Box Score,,"3,700",,March
7:30p,Washington Wizards,113,New York Knicks,131,Box Score,,"1,589",,March
8:00p,Phoenix Suns,110,Miami Heat,100,Box Score,,0,,March
10:00p,Philadelphia 76ers,108,Golden State Warriors,98,Box Score,,0,,March
10:00p,Brooklyn Nets,116,Portland Trail Blazers,112,Box Score,,,,March
7:00p,Detroit Pistons,111,Indiana Pacers,116,Box Score,,0,,March
7:30p,Boston Celtics,119,Milwaukee Bucks,121,Box Score,,"3,280",,March
7:30p,Denver Nuggets,111,Toronto Raptors,135,Box Score,,"1,578",,March
8:00p,Cleveland Cavaliers,103,Chicago Bulls,94,Box Score,,0,,March
8:00p,Charlotte Hornets,122,Houston Rockets,97,Box Score,,"3,163",,March
8:00p,Dallas Mavericks,128,Minnesota Timberwolves,108,Box Score,,0,,March
8:00p,Memphis Grizzlies,116,Oklahoma City Thunder,107,Box Score,,0,,March
8:00p,Phoenix Suns,111,Orlando Magic,112,Box Score,,"3,891",,March
8:30p,Los Angeles Clippers,134,San Antonio Spurs,101,Box Score,,"3,224",,March
10:00p,Atlanta Hawks,108,Sacramento Kings,110,Box Score,,0,,March
10:00p,Brooklyn Nets,88,Utah Jazz,118,Box Score,,"5,546",,March
,,,,,,,,,March
7:30p,Portland Trail Blazers,125,Miami Heat,122,Box Score,,0,,March
7:30p,Washington Wizards,102,New York Knicks,106,Box Score,,"1,817",,March
8:30p,Los Angeles Clippers,98,San Antonio Spurs,85,Box Score,,"3,225",,March
10:00p,Philadelphia 76ers,109,Los Angeles Lakers,101,Box Score,,0,,March
10:00p,Golden State Warriors,119,Sacramento Kings,141,Box Score,,0,,March
7:00p,Brooklyn Nets,113,Detroit Pistons,111,Box Score,,750,,March
7:30p,Boston Celtics,122,Milwaukee Bucks,114,Box Score,,"3,280",,March
7:30p,Phoenix Suns,104,Toronto Raptors,100,Box Score,,0,,March
8:00p,Miami Heat,105,Charlotte Hornets,110,Box Score,,"4,215",,March
8:00p,Houston Rockets,101,Minnesota Timberwolves,107,Box Score,,0,,March
8:00p,Denver Nuggets,113,New Orleans Pelicans,108,Box Score,,"3,700",,March
8:00p,Portland Trail Blazers,112,Orlando Magic,105,Box Score,,"3,827",,March
8:30p,Indiana Pacers,109,Dallas Mavericks,94,Box Score,,"4,132",,March
9:00p,Memphis Grizzlies,114,Utah Jazz,117,Box Score,,"5,546",,March
10:00p,Atlanta Hawks,124,Golden State Warriors,108,Box Score,,0,,March
10:30p,Cleveland Cavaliers,86,Los Angeles Lakers,100,Box Score,,0,,March
8:00p,New York Knicks,102,Milwaukee Bucks,96,Box Score,,"3,280",,March
8:00p,Houston Rockets,129,Minnesota Timberwolves,107,Box Score,,0,,March
8:00p,Detroit Pistons,92,Washington Wizards,106,Box Score,,0,,March
8:30p,Chicago Bulls,104,San Antonio Spurs,120,Box Score,,"3,334",,March
9:00p,Dallas Mavericks,103,New Orleans Pelicans,112,Box Score,,"3,700",,March
9:00p,Boston Celtics,111,Oklahoma City Thunder,94,Box Score,,0,,March
9:00p,Memphis Grizzlies,110,Utah Jazz,126,Box Score,,"5,546",,March
